color_name,color_num,R,G,B,E,S,L
pink,0,244,197,191,5,170,205
red,1,209,66,68,239,146,129
orange,2,241,89,42,9,210,133
beige,3,246,239,221,29,140,220
yellow,4,251,213,78,31,229,155
green,5,1,121,73,104,236,57
light blue,6,201,223,237,136,120,206
dark blue,7,27,72,114,139,148,66
purple,8,115,70,90,222,58,87
brown,9,99,75,71,6,40,80
grey,10,174,181,189,141,24,171
white,11,255,255,255,160,0,240
black,12,0,0,0,147,55,0
ivory,13,249,246,239,28,109,230
cream,14,235,223,201,26,110,205
nude,15,234,215,201,17,106,205
beige2,16,211,189,168,20,79,178
tan,17,170,142,120,18,55,136
khaki,18,111,114,93,46,24,97
olive,19,123,118,99,32,26,104
grey2,20,167,172,178,142,16,162
charcoal,21,67,75,77,128,17,68
nude2,22,206,170,154,12,83,169
blush,23,177,144,135,9,51,147
honey,24,184,147,92,24,94,130
mustard,25,174,125,69,21,104,114
rust,26,133,88,55,17,100,88
dusty rose,27,144,80,70,5,83,101
berry,28,123,51,52,239,99,82
mahogany,29,64,38,41,235,61,48
yellow2,30,255,224,141,29,240,186
nude3,31,226,178,158,12,130,181
salt,32,240,216,204,13,131,209
blush2,33,202,154,144,7,85,163
lilac,34,233,231,242,167,71,223
sage,35,169,169,159,40,13,154
khaki2,36,92,90,75,35,24,79
clay,37,65,63,64,220,4,60
warm nude,38,254,209,178,16,234,203
coral,39,250,176,127,16,222,177
rose,40,239,128,111,5,192,165
peach,41,245,142,107,10,210,166
orange2,42,245,128,48,16,218,138
terracotta,43,227,126,74,14,176,142
warm brown,44,198,118,83,12,121,132
chocolate,45,162,96,70,11,95,109
navy,46,20,17,70,162,146,41
dark khaki,47,61,61,35,40,65,45
violet2,48,175,171,188,169,27,169
violet3,49,134,130,157,166,29,135
light green,50,185,198,125,47,94,152
dark green,51,87,104,57,54,70,76
pink2,52,244,194,196,238,167,206
light blue2,53,186,215,237,137,141,199
dark blue2,54,67,76,117,153,65,87
yellow3,55,246,201,93,28,215,160
bright red,56,221,56,43,3,174,124
navy2,57,17,15,78,161,163,44
bright pink,58,227,81,139,224,173,145
navy3,59,49,47,73,163,52,56
light purple,60,216,192,220,194,69,194
light blue3,61,166,196,234,142,148,188
blue,62,44,103,169,141,141,100
trench,63,216,205,176,29,81,184
burgandy,64,113,32,43,235,134,68
bright blue,65,35,51,230,157,191,125
medium green,66,144,176,89,55,85,125
dark green2,67,35,85,64,103,100,56
dusty red,68,160,69,72,239,95,108
neon,69,235,242,154,48,185,186
light green2,70,199,209,160,48,83,174
topaz,71,145,181,186,125,55,156
denim,72,110,134,162,142,52,128
light grey,73,208,209,211,147,8,197
down yello,74,211,205,121,37,121,156
ivory2,75,243,242,240,27,27,227
light blue4,76,201,220,223,125,61,200
light green3,77,214,219,191,47,67,193
ivory3,78,251,241,229,22,176,226
down brown,79,130,120,106,23,24,111
beige3,80,211,199,192,15,43,190
